O1	19	19	1,136364	2	5,5	19	0,681818	0,090909	0,59099	0,136364	0,930233
O2	7	10	3,033333	5	2,142857	7	0,526316	0,105263	0,315789	0,736842	0,222222
O3	2	10	3,285714	5	2,33333	4	0,352941	0,058824	0	1	0,346154
O4	3	10	2,076923	3	3,25	6	0	0	0,076923	1,230769	0,407407
O5	15	42	2,836066	6	3,388889	15	0,016949	0,016949	0,067797	0,779661	0,577982
O6	3	2	1,5	2	1,5	3	1,166667	0,333333	0,666667	1,333333	0,5
O7	26	112	3,419162	6	3,604317	33	0,134831	0,02809	0,033708	1,601124	0,2711
O8	3	2	1,5	2	1,5	3	1,166667	0,333333	0,666667	1,333333	0,5
O9	1	8	3,416667	4	2,4	4	26	0,583333	7,416667	7,333333	0,169811
O10	26	92	2,447368	4	4,956522	26	1,386364	0,530303	0,106061	1,515152	0,602386
O11	2	7	2,727273	4	2,2	3	4,727273	0,272727	0,363636	0,818182	0,25
O12	2	6	2,375	3	2,666667	5	1,375	0,125	0,375	0,75	0,4
O13	2	6	2,25	3	2,666667	4	1,875	0,125	0,75	0,75	0,333333
O14	2	107	3,801587	4	6,3	17	0,992063	0,007937	0	0,984127	0
O15	2	10	3,285714	5	2,333333	4	0,352941	0,058824	0	1	0,346154
O16	22	22	1,3125	2	2,909091	22	0,54	0,12	0,36	2,12	0,341615
O17	16	56	3,009709	6	2,575	16	0,652174	0,434783	0,217391	1,978261	0,172727
O18	0	0	0	0	0	0	0	0	0,042231	1,130279	0,003862
O19	8	112	3,639706	5	5,666667	25	0	0	0,133333	1,148148	0,093567
O20	8	26	1,84375	3	4,571429	9	1,90625	0,5	0,4375	0,75	0,813956
O21	2	7	1,75	2	4	6	2,375	0,75	0	0,75	0,727273
O22	5	7	1,375	2	4	5	0	0	0,25	0,375	0,571429
O23	3	26	3,125	5	4,571429	14	0	0	0,21875	0,90625	0,09375
